slug,clashes_before,clashes_after,energy_before_kJ,energy_after_kJ,energy_drop_kJ,time_s,source
dcyrfp2s,12.0,16.0,501913.4081704804,10334.299583575015,491579.1085869054,12.22072434425354,openmm_minimized
degfp2,3.0,4.0,58582.8166921571,12369.126827242444,46213.68986491466,12.425106525421144,openmm_minimized
degfp3,6.0,6.0,68030.40273714377,11484.526525906567,56545.876211237206,13.298792600631714,openmm_minimized
degfp4,3.0,4.0,80423.64422659921,12127.80326261429,68295.84096398491,12.71552562713623,openmm_minimized
dendfp,4.0,7.0,-6967020.963470428,9922.04787437395,-6976943.011344803,12.480836868286133,openmm_minimized
dendra,5.0,7.0,57386.601165740416,10221.310821962066,47165.29034377835,13.209312915802002,openmm_minimized
dendra2-m159a,3.0,8.0,58526.774231141826,10650.766574603374,47876.00765653845,12.745833158493042,openmm_minimized
dendra2-t69a,3.0,6.0,58804.37941315687,10467.60222138218,48336.777191774694,13.986070156097412,openmm_minimized
dfgfp,13.0,16.0,406992.23565047985,14544.301417986851,392447.934232493,13.399186611175535,openmm_minimized
dhorgfp,6.0,10.0,101853.37735642793,15326.456464795903,86526.92089163202,11.128247022628784,openmm_minimized
dhorrfp,9.0,11.0,61226.66171485335,14585.391866670148,46641.269848183205,13.44710922241211,openmm_minimized
dimer1,4.0,8.0,93157.66953289602,10804.665008575215,82353.0045243208,13.6350736618042,openmm_minimized
dimer2,3.0,8.0,93499.5948934573,10380.978905818794,83118.6159876385,13.132423639297484,openmm_minimized
dimvenus,5.0,4.0,50149.870731660165,12212.110269068964,37937.7604625912,12.911826610565186,openmm_minimized
diogenes,4.0,5.0,146644.06492845606,8381.634117470972,138262.4308109851,12.554920196533203,openmm_minimized
dis2rfp,4.0,7.0,368995.0585021726,11328.43237114113,357666.62613103143,13.591281175613403,openmm_minimized
dis3gfp,7.0,11.0,86185.68200991317,11813.934185364167,74371.747824549,12.934066772460938,openmm_minimized
dkeima,6.0,8.0,2388885896.995582,11959.658353308889,2388873937.337229,13.570583820343018,openmm_minimized
dkeima570,1.0,7.0,33784097.69810241,12227.433665768567,33771870.26443664,13.329264640808104,openmm_minimized
dlanyfp,10.0,12.0,58558647.10390591,13431.958753888815,58545215.14515202,12.347152948379517,openmm_minimized
dpapaya01,6.0,8.0,96897.55127514996,15999.636822211169,80897.91445293878,14.182862520217896,openmm_minimized
dronpa-2,5.0,7.0,1625193.1850282466,10567.223418226942,1614625.9616100197,13.190155744552612,openmm_minimized
dronpa-3,5.0,7.0,134820.2576897057,11142.731105559633,123677.52658414606,11.956986665725708,openmm_minimized
dspr1,6.0,9.0,319194.70989656524,12976.643911473751,306218.0659850915,14.36478590965271,openmm_minimized
dsred-express,4.0,8.0,147782.161494069,12691.482228954435,135090.67926511457,12.974259853363035,openmm_minimized
dsred-express2,4.0,8.0,18230168.80281454,13301.950440073218,18216866.852374468,11.399660110473633,openmm_minimized
dsred-nf,5.0,10.0,73420.96112529252,10968.24411889358,62452.71700639895,12.923843145370483,openmm_minimized
dsred-timer,5.0,9.0,81122.51901833805,10996.607641652492,70125.91137668556,11.061556816101074,openmm_minimized
dsred2,5.0,10.0,102840.56108137584,12230.738010046703,90609.82307132916,11.55302667617798,openmm_minimized
dsredt3,4.0,8.0,726026.6292689074,12200.277946389897,713826.3513225175,10.5282723903656,openmm_minimized
dstc1,7.0,10.0,122726521.04141577,11589.269097050796,122714931.7723187,12.183546781539915,openmm_minimized
dtfp01,5.0,5.0,69775.88513690866,13633.015226497257,56142.869910411406,12.39303731918335,openmm_minimized
dtfp02,5.0,5.0,209411.64157982313,13287.949515495451,196123.69206432768,13.658660173416138,openmm_minimized
dtomato,2.0,6.0,70262.23953657303,11670.193156554067,58592.04638001896,13.386022567749023,openmm_minimized
dultramarine2,4.0,5.0,71109.07524313431,10041.472250916726,61067.60299221759,12.03685998916626,openmm_minimized
dvfp,6.0,8.0,349402.3662577203,10517.208294533024,338885.15796318726,11.687235355377195,openmm_minimized
e2-crimson,4.0,5.0,1404987.948711736,13041.993690946209,1391945.9550207898,11.209802627563477,openmm_minimized
e2-crimson-nf,5.0,6.0,169383.98728304764,13352.216908582996,156031.77037446463,13.029374361038208,openmm_minimized
e2-orange,3.0,8.0,157941.45420119065,13660.735807648256,144280.7183935424,13.316335439682009,openmm_minimized
e2-redgreen,3.0,6.0,77191.23840668247,13338.249614266952,63852.98879241552,12.958741903305054,openmm_minimized
eagfp,5.0,6.0,68046.89421874098,9849.46326975777,58197.430948983216,12.189867734909058,openmm_minimized
ebfp,10.0,10.0,66300.804708976,11893.484247382014,54407.320461593976,12.136164426803589,openmm_minimized
ebfp12,4.0,8.0,63128.47690803996,10238.005721254129,52890.47118678583,10.37796711921692,openmm_minimized
ebfp15,3.0,6.0,54075.58539349885,10703.224745752725,43372.36064774612,13.033195495605469,openmm_minimized
ebfp2,8.0,8.0,61893.99348201903,10087.03094278941,51806.96253922962,10.37180995941162,openmm_minimized
ecfp-h148d,6.0,4.0,56904.899415241656,11169.16134275137,45735.73807249029,12.406873941421509,openmm_minimized
ecgfp,5.0,5.0,66952.1870948654,11611.350864227988,55340.83623063741,12.453616619110107,openmm_minimized
ecgp123,5.0,8.0,75446.92508326282,10441.73895009442,65005.1861331684,11.772411108016968,openmm_minimized
echfp,9.0,12.0,1280881.5749013696,13356.458856605455,1267525.1160447642,11.918581485748293,openmm_minimized
echifp,7.0,12.0,55243.193108003805,13437.397438175383,41805.795669828425,11.082815647125244,openmm_minimized
eechgfp1,19.0,20.0,252077.93026849057,12768.665498486274,239309.2647700043,12.714391946792604,openmm_minimized
eechgfp2,5.0,9.0,79574.4441648759,12748.86648181919,66825.5776830567,11.68479609489441,openmm_minimized
eechgfp3,4.0,6.0,79438.73222966488,11155.328811507525,68283.40341815735,12.052100419998167,openmm_minimized
eechrfp,4.0,8.0,628563.1454831372,12121.525097866685,616441.6203852706,12.498344898223875,openmm_minimized
efascfp,9.0,11.0,18253558.638558157,9062.899162183538,18244495.739395972,11.129236221313477,openmm_minimized
efasgfp,9.0,13.0,2391192.225751521,10812.810578578898,2380379.415172942,12.249666452407835,openmm_minimized
electra1,6.0,9.0,183634.17594190713,9004.711475558439,174629.4644663487,11.326168298721312,openmm_minimized
electra2,7.0,12.0,78225.4209467561,9614.991363022966,68610.42958373313,13.628885746002195,openmm_minimized
emerald,7.0,7.0,65570.97543553781,11913.963641619228,53657.01179391858,10.110382795333862,openmm_minimized
eosfp,5.0,7.0,58531.443910474474,9385.673789229597,49145.770121244874,11.242019176483154,openmm_minimized
eqfp578,7.0,8.0,143329.68018892326,11807.248332437186,131522.43185648607,12.363224506378174,openmm_minimized
eyfp,9.0,10.0,46906.628357918424,12263.396017992132,34643.23233992629,11.618178606033323,openmm_minimized
eyfp-f46l,8.0,10.0,46858.883599774264,11740.821576723489,35118.06202305078,14.157684564590454,openmm_minimized
eyfp-q69k,7.0,11.0,47187.177422330715,12182.94770818629,35004.22971414443,13.7320396900177,openmm_minimized
eygfp,8.0,12.0,513083.04100604635,12531.614670307135,500551.4263357392,10.784494400024414,openmm_minimized
eygfpuv,5.0,8.0,9491678448.75371,14242.517181738916,9491664206.236528,13.498509407043455,openmm_minimized
eygpdp,11.0,12.0,7717914.342981305,12495.747779413972,7705418.595201891,12.358481884002686,openmm_minimized
fabdgfp,2.0,7.0,48673.213107095966,14455.891426013925,34217.321681082045,13.804024696350098,openmm_minimized
